ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
anat1259-GB026-1,anat1259,kitep-ten Peter köp-tü okudu.,kitep-ten\tPeter\tköp-tü\tokudu.,book.SG-ABL\tPeter\tmany-ABL\tread,Peter reads many books.,,
anat1259-GB026-2,anat1259,kitep-ti Peter köp      okudu.,kitep-ti\tPeter\tköp\tokudu.,book-ACC\tPeter\tmany\tread,Peter reads a lot.,,
anat1259-GB027-1,anat1259,-yle,-yle,-COM,and,,
anat1259-GB027-2,anat1259,-yle,-yle,-COM,with,,
anat1259-GB027-3,anat1259,Hasan Ali-yle,Hasan\tAli-yle,,Hasan with Ali,,
anat1259-GB027-4,anat1259,Hasan-la Ali,Hasan-la\tAli,,Hasan and Ali,,
anat1259-GB035-1,anat1259,bu,bu,this,this,,
anat1259-GB035-2,anat1259,o,o,that.over.there,that over there,,
anat1259-GB035-3,anat1259,šu,šu,that,that,,
anat1259-GB044-1,anat1259,ǰočuk-lar,ǰočuk-lar,child-PL,children,,
anat1259-GB046-1,anat1259,mehmet-ler,mehmet-ler,Mehmet-PL,Mehmet and his family,,
anat1259-GB048-1,anat1259,koš-uǰu,koš-uǰu,run-NMLZ,runner,,
anat1259-GB059-1,anat1259,hasan-ïn diš-in,hasan-ïn\tdiš-in,Hasan-GEN\ttooth-3SG,Hasans tooth,,
anat1259-GB059-2,anat1259,hasan-ïn ev-in,hasan-ïn\tev-in,Hasan-GEN\thouse-3SG,Hasans house,,
anat1259-GB068-1,anat1259,termiz-di-m,termiz-di-m,clean-PST-1SG,I was clean.,,
anat1259-GB071-1,anat1259,sen biz-e yarïn seyahat-e čïk-acaγ-iz diye söz ver-di-n,sen\tbiz-e\tyarïn\tseyahat-e\tčïk-acaγ-iz\tdiye\tsöz\tver-di-n,2SG\t1PL-DAT\ttomorrow\ttrip-DAT\tgo-FUT-1PL\tsaying\tpromise\tgive-PST-2SG,You promised us: we are going on a trip tomorrow.,,
anat1259-GB073-1,anat1259,hasan ban-a yardïm et-ti,hasan\tban-a\tyardïm\tet-ti,Hasan\t1SG-DAT\thelp\tdo-PST,Hasan helped me.,,
anat1259-GB107-1,anat1259,Hasan kitab-ï oku-ma-dï,Hasan\tkitab-ï\toku-ma-dï,Hasan\tbook-ACC\tread-NEG-PST,Hasan didnt read the book.,,
anat1259-GB118-1,anat1259,söyle-n-di dur-du,söyle-n-di\tdur-du,tell-REFL-PST\tstay-PST,She keeps on grumbling.,,
anat1259-GB118-2,anat1259,söyle-n-ir dur-ur,söyle-n-ir\tdur-ur,tell-REFL-AOR\tstay-AOR,She keeps on grumbling.,,
anat1259-GB120-1,anat1259,ben lokanta-ya var-diγ-їm-da hasan yemeγ-in-i bitir-miš ol-acak,ben\tlokanta-ya\tvar-diγ-їm-da\thasan\tyemeγ-in-i\tbitir-miš\tol-acak,1SG\trestaurant-DAT\tarrive-NMLZ-1SG-LOC\tHasan\tmeal-3SG-ACC\tfinish-PST.PTCP\tbe-FUT,"When I arrive at the restaurant, Hasan will have finished his meal.",,
anat1259-GB121-1,anat1259,sa:t beš-te londra-ya var-miš ol-acaγ-їm,sa:t\tbeš-te\tlondra-ya\tvar-miš\tol-acaγ-їm,oclock\tfive-LOC\tLondon-DAT\tarrive-PST.PTCP\tbe-FUT-1SG,I will have arrived in London at five oclock.,,
