Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Baskakov (1975:116)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Baskakov (1975:116)	not obligatory		
GB022	Are there prenominal articles?	1: present, 0: absent	1	Baskakov (1975:116)			"pir kizi
one person
‘A person came.’/‘A certain person came.’"
GB023	Are there postnominal articles?	1: present, 0: absent	0	Baskakov (1975:116)			
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.	1	Baskakov (1975:115)			"altï at
six horse
‘six horses’"
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.	1	Baskakov (1975:149)			"pu čïl-lar-da
this year-PL-LOC
‘in these years’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Baskakov (1975:331)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Baskakov (1975:76, 270-271)		"comitative: instrumental case
coordination: paza ‘and’"	"pis olar-naŋ pir čir-de tastïXti čurtapča-bïs
1PL 3PL-INS one ground-LOC outside live-1PL
‘We live in the same place outside of the village as they do (with them).’
sö:t-ter pasa tït-tar
aspen-PL and pine-PL
‘aspens and pines’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Baskakov (1975:146)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Baskakov (1975:146)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Baskakov (1975:146)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	1	Baskakov (1975:149)			"pu ‘this’
tigi ‘that’
ol ‘that over there’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Baskakov (1975:149)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Baskakov (1975:149)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Baskakov (1975:61)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	?	Baskakov (1975:1-413)	Not mentioned.		
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Baskakov (1975:61)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Baskakov (1975:61)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Baskakov (1975:61)		-tar/-ter/-lar/-ler/-nar/-ner	"mal-lar
animal-PL
‘animals’
ib-ler
house-PL
‘houses'"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Baskakov (1975:61)			"peske-ler
Vasilij-PL
‘Vasilij and his friends’
bain-nar
Bainov-PL
‘Bainov and his family’"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Baskakov (1975:56-57)		"-Ɣ/-g/-ig/-ïg
-s/-ïs/-is"	"sad-ïƔ
trade-NMLZ
‘trade’
örin-is
rejoice-NMLZ
‘joy'"
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	0	Baskakov (1975:56-60)			
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Baskakov (1975:57)		-m/-ïm/-im	"alta-m
step-NMLZ
‘a step’
čar-ïm
divide-NMLZ
‘a half’"
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Baskakov (1975:62-65, 281)			
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both	1	Baskakov (1975:62-65, 281)			"min-iŋ kniga-lar-ïm
1SG-GEN book-PL-1PL
‘my books’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Baskakov (1975:331)			"tigir kök
sky blue
‘The sky is blue.’"
GB069	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	1: present, 0: absent	0	Baskakov (1975:331)			"čilïƔ suƔ
warm water
‘warm water’"
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Baskakov (1975:66-67)			
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Baskakov (1975:146)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	Baskakov (1975:66-67)			
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Baskakov (1975:146)			
GB074	Are there prepositions?	1: present, 0: absent	0	Baskakov (1975:253)			
GB075	Are there postpositions?	1: present, 0: absent	1	Baskakov (1975:253)			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Baskakov (1975:1-413)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Baskakov (1975:200-227)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Baskakov (1975:1-413)			
