Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	"Krueger (1961:53); Savelev (p.c. 2016)"			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	"Krueger (1961:53); Savelev (p.c. 2016)"			
GB022	Are there prenominal articles?	1: present, 0: absent	0	"Krueger (1961:53); Savelev (p.c. 2016)"			
GB023	Are there postnominal articles?	1: present, 0: absent	0	"Krueger (1961:53); Savelev (p.c. 2016)"			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	"Levitskaja (1976:47); Savelev (p.c. 2016)"			viźɘ šurt [three house] ‘three houses’
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Savelev (p.c. 2016)			vəʷl śin [that person] ‘that man’
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	0	Savelev (p.c. 2016)	only emphatically		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	0	"Krueger (1961:109, 169); Savelev (p.c. 2016)"		instrumental	"kaɣal-ba puyan
[lazybones-INST rich.man]
‘The Lazybones and the Rich Man’
man-ba pɘrle kilǰɘ
[1SG-INST together.with come]
‘He came together with me.’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	1	"Levitskaja (1976:32); Savelev (p.c. 2016)"		three-way contrast: ku ‘this’, leS@ ‘that’, sak@ ‘this here’ (emphasized), sav@ ‘that over there’ (2nd level, more distant, mentioned before), v@l ‘that, the afore mentioned’ (3rd level, most distant from the speaker)	"ku, śakə ‘this’
śavə ‘that’ (medial)
leš ‘that over there’, distal"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92, 112)"			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	"Krueger (1961:112); Savelev (p.c. 2016)"			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	"Krueger (1961:112); Savelev (p.c. 2016); Levitskaja (1976: 9), Tenishev (1988:18)"		suffix -sem	xur@n-sem [birch-PL], pyrt-sem [house-PL], hut-sem [paper-PL]
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	"Krueger (1961:94); Savelev (p.c. 2016)"			"ivanov-zem [Ivanov-PL] ‘members of the Ivanov’s family’
kaɣal-zem [lazy-PL] ‘the lazybones and his family’"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	"Levitskaja (1976:152-165); Savelev (p.c. 2016)"			"sut- ‘to sell’ > sut@ ‘sale’
kaš- ‘to transport, to cross’ > kaš@ ‘transport, crossing’
p@t- ‘to go to an end’ > p@tm@š ‘finish, end’
v@s- ‘to fly’ > v@sev ‘flight’
jurat- ‘to love’ > juratu ‘love’
kil- ‘to come’ > kily ‘arrival’"
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	0	"Levitskaja (1976:152-165); Savelev (p.c. 2016)"	According to Savelev (p.c. 2017), the suffix is not productive.		"p@x- ‘to watch’ > p@xa ‘warden’
j@pat- ‘to console’ > j@patm@S ‘consoler’
l@rka- ‘to grumble’ > l@rkam@S ‘grumbler’"
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	"Levitskaja (1976:152-165); Savelev (p.c. 2016)"			vit- ‘to cover with a roof’ > vite ‘cowshed’
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	"Andreev (1997:484); Krueger (1961:92)"			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Savelev (p.c. 2016)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	1	Savelev (p.c. 2017)		"alienable: possessive pronoun
inalienable: optional possessive pronoun + possessive suffix on the possessed"	"san sědel-e
[2SG.POSS table-ACC]
‘your table’
(san) all-u-na
[(2SG.POSS) hand-2SG.POSS-ACC]
‘your hand’"
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	3	"Andreev (1997:483); Savelev (p.c. 2016); Levitskaja (1976: 14-15)"			"їvəl-u [son-2SG] ‘your son’, xɘr-y [daughter-2SG] ‘your daughter’, sɘdel-Em [table-1SG] ‘my table’, sɘdel-y [table-2SG] ‘your table’, ur-i [leg-3SG] ‘his leg’
san sědel-e [2SG.POSS table-ACC] ‘your table’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	"Krueger (1961:124); Savelev (p.c. 2016)"			"šurə śəʷmarda [white egg] ‘a white egg’
śəʷmarda šurə [egg white] ‘the egg is white’
śăмарта šurăččĕ ‘the egg was white’"
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	0	"Krueger (1961:124); Savelev (p.c. 2016)"			
