ID	Feature_short	Feature	PoS	Function	Level
GB336	BodypartTL	Is there a body-part tallying system?	noun	quantification	word
GB400	PersonNeutral	Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?	verb	TAME	clause
GB401	PatientlabV	Is there a class of patient-labile verbs?	verb	valency	clause
GB402	SupplSee	Does the verb for 'see' have suppletive verb forms?	verb	TAME+	word
GB403	SupplCome	Does the verb for 'come' have suppletive verb forms?	verb	TAME+	word
GB408	AccAlignment	Is there any accusative alignment of flagging?	multiple	argument marking (core)	clause
GB409	ErgAlignment	Is there any ergative alignment of flagging?	multiple	argument marking (core)	clause
GB410	NeutAlignment	Is there any neutral alignment of flagging?	multiple	argument marking (core)	clause
GB415	Polite2Prs	Is there a politeness distinction in 2nd person forms?	pronoun	deixis	word
GB421	ComplPrep	Is there a preposed complementizer in complements of verbs of thinking and/or knowing?	not assignable	word order	clause
GB422	ComplPostp	Is there a postposed complementizer in complements of verbs of thinking and/or knowing?	not assignable	word order	clause
GB430	PrfPossessor	Can adnominal possession be marked by a prefix on the possessor?	multiple	possession	word
GB431	PrfPossessed	Can adnominal possession be marked by a prefix on the possessed noun?	multiple	possession	word
GB432	SuffPossessor	Can adnominal possession be marked by a suffix on the possessor?	multiple	possession	word
GB433	SuffPossessed	Can adnominal possession be marked by a suffix on the possessed noun?	multiple	possession	word
GB519	AuxPtclMood	Can mood be marked by a non-inflecting word ("auxiliary particle")?	particle	TAME	clause
GB520	AuxPtclAspect	Can aspect be marked by a non-inflecting word ("auxiliary particle")?	particle	TAME	clause
GB521	AuxPtclTense	Can tense be marked by a non-inflecting word ("auxiliary particle")?	particle	TAME	clause
GB522	Prodrop	Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context ("pro-drop" or "null anaphora")?	not assignable	argument marking (core)	clause
TE001	PolysyllRoot	Is root structure predominantly polysyllabic?	multiple	NA	NA
TE002	NoTonalDist	Are complex tonal distinctions lacking?	multiple	NA	NA
TE003	VHPalat	Is there palatal vowel harmony?	not assignable	phonological distinctiveness	phonological shape
