ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment
anat1259-GB026,anat1259,,kitep-ten Peter köp-tü okudu.,book.SG-ABL Peter many-ABL  read,Peter reads many books.,
anat1259-GB026,anat1259,,kitep-ti Peter köp      okudu.,book-ACC Peter   many read,Peter reads a lot.,
anat1259-GB027,anat1259,,-yle,-COM,and,
anat1259-GB027,anat1259,,-yle,-COM,with,
anat1259-GB027,anat1259,,Hasan Ali-yle,,Hasan with Ali,
anat1259-GB027,anat1259,,Hasan-la Ali,,Hasan and Ali,
anat1259-GB035,anat1259,,bu,this,this,
anat1259-GB035,anat1259,,o,that.over.there,that over there,
anat1259-GB035,anat1259,,šu,that,that,
anat1259-GB044,anat1259,,ǰočuk-lar,child-PL,children,
anat1259-GB046,anat1259,,mehmet-ler,Mehmet-PL,Mehmet and his family,
anat1259-GB048,anat1259,,koš-uǰu,run-NMLZ,runner,
anat1259-GB059,anat1259,,hasan-ïn diš-in,Hasan-GEN tooth-3SG,Hasans tooth,
anat1259-GB059,anat1259,,hasan-ïn ev-in,Hasan-GEN house-3SG,Hasans house,
anat1259-GB068,anat1259,,termiz-di-m,clean-PST-1SG,I was clean.,
anat1259-GB071,anat1259,,sen biz-e yarïn seyahat-e čïk-acaγ-iz diye söz ver-di-n,2SG 1PL-DAT tomorrow trip-DAT go-FUT-1PL saying promise give-PST-2SG,You promised us: we are going on a trip tomorrow.,
anat1259-GB073,anat1259,,hasan ban-a yardïm et-ti,Hasan 1SG-DAT help do-PST,Hasan helped me.,
anat1259-GB107,anat1259,,Hasan kitab-ï oku-ma-dï,Hasan book-ACC read-NEG-PST,Hasan didnt read the book.,
anat1259-GB118,anat1259,,söyle-n-di dur-du,tell-REFL-PST stay-PST,She keeps on grumbling.,
anat1259-GB118,anat1259,,söyle-n-ir dur-ur,tell-REFL-AOR stay-AOR,She keeps on grumbling.,
anat1259-GB120,anat1259,,ben lokanta-ya var-diγ-їm-da hasan yemeγ-in-i bitir-miš ol-acak,1SG restaurant-DAT arrive-NMLZ-1SG-LOC Hasan meal-3SG-ACC finish-PST.PTCP be-FUT,"When I arrive at the restaurant, Hasan will have finished his meal.",
anat1259-GB121,anat1259,,sa:t beš-te londra-ya var-miš ol-acaγ-їm,oclock five-LOC London-DAT arrive-PST.PTCP be-FUT-1SG,I will have arrived in London at five oclock.,
anat1259-GB123,anat1259,,göz at,eye throw,have a look,
anat1259-GB127,anat1259,,kitap masa-da,book table-LOC,The book is on the table.,
anat1259-GB133,anat1259,,ben kitab-ï oku-du-m,1SG book-ACC read-PST-1SG,I read the book.,
anat1259-GB135,anat1259,,ben kitab-ï oku-du-m,1SG book-ACC read-PST-1SG,I read the book.,
anat1259-GB135,anat1259,,herkes sen sinema-ya git-ti-n san-їyor,everybody 2SG cinema-DAT go-PST-2SG believe-PRS.PROG,Everybody believes that you went to the movies.,
anat1259-GB135,anat1259,,isti-yor-um ki yarїn ben-im-le sinema-ya gel-esin,want-PRS.PROG-1SG COMP tomorrow 1SG-GEN-with cinema-DAT come-2SG.OPT,I want you to come to the movies with me tomorrow.,
anat1259-GB137,anat1259,,Hasan kitab-ï oku-ma-dï,Hasan book-ACC read-NEG-PST,Hasan didnt read the book.,
anat1259-GB139,anat1259,,Hasan kitab-ï oku-ma-dï,Hasan book-ACC read-NEG-PST,Hasan didnt read the book.,
anat1259-GB139,anat1259,,oku-ma-yïn,read-NEG-2PL.IMP,don't read! (2PL),
anat1259-GB140,anat1259,,(ben) hasta deγil-im,(1SG) sick NEG.COP-1SG,(I) am not sick.,
anat1259-GB140,anat1259,,ben ev-de yok-tu-m,1SG home-LOC NEG.EXIST-PST-1SG,I was not at home.,
anat1259-GB140,anat1259,,hasan kitab-ï oku-ma-dï,Hasan book-ACC read-NEG-PST,Hasan didnt read the book.,
anat1259-GB146,anat1259,,Ahmet-in sinema-ya yalnïz bašïna git-me-si ben-i čok üz-dü,Ahmet-GEN cinema-DAT alone in go-NMLZ-3SG 1SG-ACC very sadden-PST,That Ahmet went to the movies on himself made me very sad.,
anat1259-GB159,anat1259,,demet demet čiček-ler,bunch bunch flower-PL,bunches and bunches of flowers,
anat1259-GB160,anat1259,,bom-boš,empty~INTENS,totally empty,
anat1259-GB185,anat1259,,bu kitap-lar,this book-PL,these books,
anat1259-GB204,anat1259,,bütün,all,all,
anat1259-GB204,anat1259,,her,every,every,
anat1259-GB254,anat1259,,Hasan-ïn čok eski bir kitabï var,Hasan-GEN very old a book exist,Hasan has a very old book.,
anat1259-GB264,anat1259,,kitab-ï hasan mï Ali-ye ver-di,book-ACC Hasan Q Ali-DAT give-PST,Did Hasan give the book to Ali?,
anat1259-GB266,anat1259,,sen ben-den iyi bir insan-sin,2SG 1SG-ABL good a person-2SG,You are a better person than me.,
anat1259-GB276,anat1259,,sen ben-den daha iyi bir insan-sїn,2SG 1SG-ABL more good one person-2SG,You are a better person than me.,
anat1259-GB306,anat1259,,birbir-imiz e. o. -l.pl.,,our each other,
anat1259-GB325,anat1259,,cač,how.many,how many,
anat1259-GB325,anat1259,,ne kadar,,how much,
anat1259-GB408,anat1259,,ben kitab-ï oku-du-m,1SG book-ACC read-PST-1SG,I read the book.,
